tid,kat,these1,these2
33,3,"Bei uns gibt es klare Vorgaben. Unsere Aufgabe ist es, die Entscheidungen sauber umzusetzen.","Jeder ist aufgefordert zu widersprechen, auch dem Chef, wenn ihm etwas nicht plausibel erscheint. Tragfähige Entscheidungen entstehen nur in offenen Auseinandersetzungen."
34,3,Neue Mitarbeitersollen sich eingliedern und uns unterstützen.,Neue Mitarbeiter sollen bei uns frischen Wind bringen und Routinen in Frage stellen.
35,3,"Es gibt eine Art Routine, wann wir anfangen und aufhören mit der Arbeit. ","Hier macht jeder seine Arbeit so wie er denkt. Wenn viel anliegt wird viel gearbeitet, wenn es rund läuft, kann man auch früher gehen."
36,3,"Die Bitte eines Kollegen um Unterstützung abzulehnen, wäre ein Fauxpas.",Jeder ist grundsätzlich selbst für seine Performance verantwortlich.
37,3,"Wir stimmen uns oft ab und wenn jemand hinterher hinkt, bekommt er Unterstützung.","Jeder ist für seinen Job verantwortlich und muss sich zunächst mal selbst helfen. Das schließt nicht aus, dass Dinge neu verteilt werden müssen, wenn jemand zuviel Arbeitslast trägt."
38,3,"Wenn jemand krank wird, machen wir die Arbeit soweit möglich für ihn mit.","Wenn jemand krank wird, arbeitet er soweit möglich von zuhause oder er muss schauen, wie er wieder Anschluss findet."
39,3,"Wenn jemand krank wird, geht er nach hause, bevor er Andere ansteckt oder es ihn richtig „umhaut“.","Bevor hier jemand wegen Krankheit fehlt, muss er schon auf der Krankenbahre raus getragen werden."
40,3,Wir brauchen keine Regeln für Kaffe- oder Spülmaschine. Jeder packt ohne Aufforderung an.,Wir haben klare Verhaltensregeln für das Zusammenleben im Büro/der Arbeit.
41,3,Die Geburtstage der Teammitglieder sind bekannt und werden im angemessenen Rahmen gefeiert.,Geburtstage werden normalerweise nicht gefeiert. 
42,3,Es gibt auch einige informelle Kontakte in unserem Team. Gelegentlich gehen wir außerhalb der Arbeit aus.,Nach Dienst geht jeder seinen Weg. Privates und Hobbys kommen eh zu kurz.
43,3,"Wir achten darauf, dass jedes Teammitglied die gleiche Wertschätzung erfährt.","Es ist schon klar, wer bei uns die Leistungsträger sind."
44,3,"Wenn es jemanden mal schlecht geht, sagt er das und bekommt dann auch Unterstützung. ","Wenn man schlecht drauf ist, reißt man sich besser zusammen, sonst wird einem das als Schwäche ausgelegt."
45,3,Die wirklich wichtigen Dinge sind allen klar. Protokolle werden eh nicht gelesen.,"Es gibt Protokolle aller wichtigen Sitzungen. Es gibt auch klare Prozedere, z.B. bis wann Tagesordnungspunkte einzureichen sind."
46,3,"Bei uns herrscht eher eine Vertrauenskultur. Wenn z.B. kein Kaffee mehr da ist, bringt ihn der mit, der es am ersten bemerkt.",Wir halten solche Dinge fest. Jeder kommt im Umlauf mal dran. Sonst gibt es erfahrungsgemäß früher oder später Ärger.  
47,3,"Bei uns geht es emotional schon mal auf und ab. Wir versuchen aber immer Lösungen zu finden, mit denen alle leben können.","Wenn wir uneins sind, entscheidet der Chef oder wir stimmen nach angemessener Zeit ab, sonst würde ewig diskutiert."
48,3,"Bei uns wird es schon mal laut und emotional, aber wir lachen auch kräftig.",Bei uns geht es formell und geschäftsmäßig zu.
49,3,"Bei der Vielzahl der Absprachen kommt es schon mal vor, dass etwas übersehen wird. Wir steuern dann nach.",Auf Absprachen kann man sich bei uns verlassen. Wir müssen wenig nachsteuern.
50,3,In Meetings beißen wir uns schon mal an wirklich interessanten Punkten fest. Manchmal sind wir etwas chaotisch.,In Meetings arbeiten wir die Agenda diszipliniert ab. Manchmal sind wir etwas starr.
